#Transcript	Name/Description	Gene	Gene Description	DEA Result	Regulated	(1 - Probability)	Probability	Log2FC	Control MeanExpLevel	Test MeanExpLevel
G5725.46	FBtr0091792	CG33791		DE	UP	2.0E-4	0.9998	2.95	97.53	751.57
G5725.50	novel	CG33791		DE	DOWN	0.00106	0.99894	-2.39	724.05	137.85
G5725.53	novel	CG33791_ABCB7	CG33791_ABCB7	DE	UP	6.9E-4	0.99931	1.59	681.42	2050.02
G5725.55	novel	CG33791		DE	DOWN	0.00136	0.99864	-3.2	443.04	48.3
G5726.1	FBtr0331463	CG12105		DE	UP	0.0	1.0	15.91	0.0	308.46
G5726.13	FBtr0331463	CG12105		DE	UP	9.5E-4	0.99905	6.71	2.04	213.5
G5726.4	FBtr0072824	CG12105		DE	UP	0.0	1.0	4.87	57.5	1681.94
G5726.6	FBtr0331463	CG12105		DE	UP	0.0	1.0	7.5	6.45	1165.27
G5728.2	novel	novelGene_ABCB7_AS	novelGene_ABCB7_AS	DE	UP	0.00105	0.99895	3.32	19.22	191.42
G5729.12	FBtr0072822	CG13928		Not DE		0.0413	0.9587	0.37	1361.67	1760.74
G5729.13	FBtr0072822	CG13928		DE	DOWN	0.0	1.0	-18.11	1413.71	0.0
G5729.18	FBtr0072822	CG13928		DE	UP	0.0	1.0	7.13	32.97	4628.52
G5729.2	FBtr0302024	GC		DE	UP	0.0	1.0	3.59	79.77	961.77
G5729.21	FBtr0072822	CG13928		DE	UP	5.6E-4	0.99944	1.11	1430.24	3086.9
G5729.8	novel	GC		DE	UP	0.0	1.0	7.69	5.5	1137.45
G5730.1	novel	CG13920		DE	UP	3.9E-4	0.99961	4.42	19.77	422.83
G5730.10	FBtr0072761	CG13920		DE	UP	2.3E-4	0.99977	2.82	130.56	921.63
G5730.2	novel	novelGene_GC_AS	novelGene_GC_AS	DE	UP	1.9E-4	0.99981	2.83	128.68	916.99
G5730.3	novel	CG13920		DE	UP	3.9E-4	0.99961	4.06	31.93	530.88
G5730.4	novel	novelGene_nSyb_AS	novelGene_nSyb_AS	Not DE		0.0467	0.9533	0.63	381.65	591.86
G5731.2	FBtr0072815	nSyb		DE	DOWN	0.0	1.0	-3.37	2170.52	209.94
G5732.4	FBtr0072814	metl		Not DE		0.03525	0.96475	0.71	350.6	573.4
G5732.6	FBtr0072813	metl		Not DE		0.27068	0.72932	0.25	458.37	545.4
G5733.1	FBtr0330180	Bgb		Not DE		0.01366	0.98634	0.67	950.72	1516.19
G5733.3	FBtr0330180	Bgb		DE	UP	0.0	1.0	15.71	0.0	268.58
G5734.13	FBtr0072811	alphaCOP		Not DE		3.0E-4	0.9997	-0.68	7131.85	4443.95
G5734.14	FBtr0072812	alphaCOP		Not DE		0.07805	0.92195	-0.14	5121.47	4657.99
G5738.12	FBtr0072809	Vta1	Vta1	DE	UP	0.0202	0.9798	1.21	162.42	375.12
G5738.13	novel	Vta1	Vta1	DE	UP	0.03295	0.96705	1.43	48.63	131.29
G5738.3	novel	Vta1	Vta1	Not DE		0.0577	0.9423	0.68	309.47	494.79
G5738.4	FBtr0072809	Vta1	Vta1	Not DE		0.00539	0.99461	-0.4	4156.68	3154.1
G5739.4	FBtr0346821	CG7970		DE	UP	0.0	1.0	2.56	647.59	3819.13
G5739.7	FBtr0072762	CG7970		Not DE		0.00121	0.99879	-0.97	2348.42	1200.3
G574.2	novel	novelGene_tutl_AS	novelGene_tutl_AS	DE	UP	0.0	1.0	6.16	17.33	1240.99
G5740.1	FBtr0072807	Srrm234	Srrm234	DE	UP	0.01549	0.98451	1.13	271.22	595.2
G5740.12	novel	Srrm234	Srrm234	Not DE		0.01004	0.98996	-0.83	1461.57	820.02
G5740.14	FBtr0072806	Srrm234	Srrm234	Not DE		0.00832	0.99168	-0.8	1743.91	1001.63
G5740.15	FBtr0072806	Srrm234	Srrm234	DE	UP	3.9E-4	0.99961	5.43	14.39	621.29
G5740.20	FBtr0072806	Srrm234	Srrm234	Not DE		0.05006	0.94994	-1.17	524.27	232.41
G5740.3	FBtr0072807	Srrm234	Srrm234	DE	UP	0.0	1.0	14.81	0.0	143.15
G5740.4	novel	Srrm234	Srrm234	Not DE		0.06729	0.93271	0.69	205.72	330.76
G5740.5	FBtr0072807	Srrm234	Srrm234	DE	DOWN	0.04644	0.95356	-1.16	304.52	136.24
G5740.9	FBtr0072806	Srrm234	Srrm234	DE	UP	0.01133	0.98867	3.33	13.23	133.11
G5741.10	FBtr0072763	CG7974		DE	UP	0.0	1.0	15.21	0.0	189.14
G5741.5	FBtr0072763	CG7974		Not DE		0.45433	0.54567	-0.18	449.09	397.27
G5741.6	FBtr0072763	CG7974		Not DE		0.01043	0.98957	-0.71	1431.33	876.09
G5741.9	FBtr0072763	CG7974		DE	UP	0.00278	0.99722	2.3	95.16	469.81
G5742.2	FBtr0072805	RpL23A		Not DE		0.0	1.0	-0.43	47600.7	35293.4
G5743.10	novel	novelGene_CG7991_AS	novelGene_CG7991_AS	DE	UP	0.0	1.0	15.51	0.0	232.92
G5743.11	novel	novelGene_CG7991_AS	novelGene_CG7991_AS	DE	UP	0.0	1.0	7.56	3.65	688.03
G5743.12	novel	novelGene_358	novelGene_358	DE	UP	0.0	1.0	8.81	2.0	893.87
G5743.13	novel	novelGene_359	novelGene_359	DE	UP	0.0	1.0	15.76	0.0	278.13
G5743.3	novel	CG13930		DE	UP	1.6E-4	0.99984	6.69	3.88	400.25
G5743.4	FBtr0072803	CG13930		DE	UP	1.7E-4	0.99983	8.22	1.19	354.36
G5743.7	novel	novelGene_CG7991_AS	novelGene_CG7991_AS	DE	UP	0.0	1.0	14.67	0.0	130.48
G5746.1	FBtr0072764	CG12011		DE	UP	0.00215	0.99785	3.6	19.65	238.49
G5746.2	FBtr0072764	CG12011		DE	UP	0.0	1.0	17.08	0.0	693.05
G5747.4	novel	novelGene_CG7991_AS	novelGene_CG7991_AS	DE	UP	0.0	1.0	7.8	2.32	516.37
G575.2	FBtr0333484	tutl		DE	UP	0.0	1.0	4.43	50.0	1080.47
G5751.4	FBtr0303103	CG7991		DE	UP	0.0	1.0	3.9	104.12	1550.11
G5751.5	FBtr0303103	CG7991		DE	UP	0.0	1.0	5.39	19.05	796.78
G5752.10	FBtr0072799	drpr		DE	UP	0.0	1.0	16.17	0.0	368.09
G5752.11	FBtr0072799	drpr		DE	DOWN	0.0	1.0	-2.65	9110.87	1453.86
G5752.18	novel	drpr		DE	DOWN	0.0	1.0	-2.13	2001.43	456.62
G5752.2	FBtr0072799	drpr		Not DE		0.08379	0.91621	0.98	172.63	339.95
G5752.25	novel	drpr		DE	UP	0.0	1.0	15.51	0.0	232.6
G5752.28	novel	drpr		Not DE		0.06933	0.93067	0.81	650.16	1137.97
G5752.30	novel	drpr		DE	UP	0.0	1.0	14.26	0.06	1130.66
G5752.31	FBtr0072799	drpr		Not DE		0.06105	0.93895	0.76	157.2	265.31
G5752.32	FBtr0072799	drpr		DE	UP	0.00392	0.99608	2.3	70.03	345.07
G5752.33	novel	drpr		DE	DOWN	0.00536	0.99464	-1.94	388.77	101.54
G5752.36	novel	drpr		DE	DOWN	0.00767	0.99233	-1.35	1166.12	457.68
G5752.37	FBtr0072799	drpr		DE	UP	0.00181	0.99819	1.22	1346.15	3133.43
G5752.38	FBtr0072799	drpr		DE	UP	0.00362	0.99638	4.67	5.43	137.86
G5752.40	FBtr0072799	drpr		DE	DOWN	0.00146	0.99854	-2.62	1288.14	209.7
G5752.44	FBtr0072799	drpr		Not DE		0.08233	0.91767	0.81	682.76	1194.74
G5752.5	FBtr0072799	drpr		DE	DOWN	0.0	1.0	-12.56	1115.89	0.19
G5752.52	novel	drpr		DE	UP	0.0081	0.9919	2.67	40.1	254.85
G5752.53	FBtr0334079	drpr		DE	UP	0.0	1.0	15.16	0.0	183.69
G5752.54	novel	drpr		DE	UP	0.0	1.0	15.55	0.0	239.25
G5752.63	FBtr0334079	drpr		DE	UP	9.0E-4	0.9991	4.01	38.19	613.79
G5752.64	FBtr0334079	drpr		DE	UP	0.0	1.0	15.92	0.0	310.61
G5752.65	FBtr0072800	CG18171		DE	UP	0.0	1.0	16.12	0.0	356.64
G5752.66	FBtr0072800	CG18171		DE	DOWN	0.0	1.0	-4.5	33343.86	1472.05
G5752.74	FBtr0072800	CG18171		DE	DOWN	0.0	1.0	-20.21	6045.67	0.0
G5752.76	FBtr0334078	drpr		DE	DOWN	0.00112	0.99888	-1.57	1853.77	622.62
G5753.1	novel	novelGene_drpr_AS	novelGene_drpr_AS	DE	UP	0.0	1.0	6.7	8.45	880.39
G5753.2	novel	novelGene_drpr_AS	novelGene_drpr_AS	DE	UP	0.0	1.0	8.85	2.0	924.63
G5754.1	FBtr0072766	CG12035		DE	DOWN	0.0	1.0	-1.57	17323.47	5818.06
G5754.2	FBtr0072766	CG12035		Not DE		0.98959	0.010408	0.01	1345.14	1353.03
G5755.3	novel	novelGene_Gk2_AS	novelGene_Gk2_AS	DE	UP	0.0202	0.9798	1.26	137.23	327.62
G5755.4	novel	novelGene_Gk2_AS	novelGene_Gk2_AS	Not DE		0.07795	0.92205	1.2	40.84	93.62
G5756.3	novel	PIG-Wb	PIG-Wb	DE	DOWN	1.7E-4	0.99983	-3.69	755.55	58.6
G5756.6	FBtr0334076	PIG-Wb	PIG-Wb	DE	DOWN	2.9E-4	0.99971	-4.01	1075.16	66.91
G5756.7	novel	PIG-Wb	PIG-Wb	DE	DOWN	2.8E-4	0.99972	-3.87	368.73	25.2
G5756.8	novel	PIG-Wb	PIG-Wb	DE	DOWN	0.0	1.0	-3.88	719.21	48.93
G5757.1	FBtr0345817	Gk2	Gk2	DE	DOWN	0.0	1.0	-2.03	2370.27	579.92
G5757.13	FBtr0345817	Gk2	Gk2	DE	UP	0.0	1.0	6.26	15.56	1196.55
G5757.6	FBtr0072771	Gk2	Gk2	Not DE		0.01859	0.98141	0.9	310.51	580.14
G576.3	novel	bdl	bdl	DE	UP	0.0	1.0	3.71	191.0	2495.25
G576.5	FBtr0077425	bdl	bdl	Not DE		0.0	1.0	0.98	3024.08	5962.32
G5760.7	FBtr0072795	Cht2		Not DE		0.01335	0.98665	0.58	1368.11	2043.61
G5760.8	FBtr0072795	Cht2		DE	UP	0.0	1.0	4.2	73.51	1355.33
G5761.1	novel	novelGene_Cht2_AS	novelGene_Cht2_AS	Not DE		0.0119	0.9881	0.64	997.34	1558.8
G5762.1	FBtr0300292	CG8001		DE	DOWN	1.3E-4	0.99987	-1.15	4263.28	1916.54
G5762.2	novel	CG8001		Not DE		0.23479	0.76521	-0.33	380.23	302.42
G5762.21	FBtr0334074	CG8001		DE	UP	1.1E-4	0.99989	2.75	337.59	2267.35
G5762.25	FBtr0334074	CG8001		DE	UP	0.0	1.0	18.06	0.0	1366.13
G5762.6	FBtr0072774	CG8001		Not DE		0.0	1.0	-0.7	7915.36	4885.95
G5762.8	FBtr0300292	CG8001		Not DE		0.00136	0.99864	-0.78	8956.22	5229.96
G5762.9	novel	CG8001		Not DE		0.48973	0.51027	0.12	988.28	1073.01
G5763.10	FBtr0303106	Dhc62B		DE	DOWN	0.0	1.0	-2.2	13407.96	2925.15
G5763.13	novel	CG13933		DE	UP	2.6E-4	0.99974	2.09	344.44	1465.04
G5763.15	FBtr0072792	CG13933		Not DE		0.0137	0.9863	0.77	1074.05	1829.88
G5763.16	FBtr0072792	CG13933		DE	UP	0.0	1.0	15.85	0.0	295.05
G5763.18	novel	CG13933		DE	UP	0.01671	0.98329	1.87	97.17	354.41
G5763.20	FBtr0072792	CG13933		DE	UP	0.0	1.0	16.71	0.0	537.3
G5763.21	FBtr0072792	CG13933		DE	UP	0.0	1.0	14.11	0.0	88.15
G5763.9	FBtr0303106	Dhc62B		Not DE		1.9E-4	0.99981	0.98	2334.07	4599.92
G5765.2	FBtr0072775	Pol31	Pol31	Not DE		0.52633	0.47367	0.07	1590.88	1675.06
G5765.4	FBtr0072775	Pol31	Pol31	DE	UP	0.0	1.0	15.6	0.0	249.07
G5765.6	FBtr0072776	mRpL46		DE	UP	8.1E-4	0.99919	2.22	509.81	2368.57
G5765.7	FBtr0072776	mRpL46		Not DE		0.01209	0.98791	-0.42	3237.95	2424.05
G5765.9	FBtr0072776	mRpL46		DE	UP	0.0	1.0	16.25	0.0	388.39
G5767.11	FBtr0072789	alpha-Spec		DE	UP	5.0E-4	0.9995	2.52	513.87	2953.03
G5767.13	FBtr0332878	alpha-Spec		Not DE		0.01972	0.98028	-0.79	1040.7	599.99
G5767.3	FBtr0072789	alpha-Spec		DE	DOWN	0.0	1.0	-1.13	9579.53	4367.88
G5767.34	FBtr0332879	alpha-Spec		DE	DOWN	1.6E-4	0.99984	-2.47	7950.29	1434.51
G5767.4	FBtr0332879	alpha-Spec		Not DE		0.10054	0.89946	-0.31	4505.31	3627.52
G5767.43	novel	alpha-Spec		DE	UP	0.00571	0.99429	3.74	14.39	192.68
G5767.56	FBtr0072790	dlt		DE	UP	0.00273	0.99727	1.76	336.44	1140.24
G5767.60	FBtr0072790	dlt		Not DE		0.07823	0.92177	-0.72	437.9	265.87
G5767.61	novel	dlt		DE	UP	0.01142	0.98858	1.22	414.99	968.23
G5767.9	FBtr0072789	alpha-Spec		DE	UP	2.0E-5	0.99998	1.01	3141.69	6327.56
G5768.1	novel	Cdc37		Not DE		0.00605	0.99395	-0.82	2416.23	1372.97
G5768.14	FBtr0072777	Cdc37		DE	DOWN	0.01219	0.98781	-2.72	262.2	39.69
G5768.18	FBtr0072777	Cdc37		Not DE		0.24821	0.75179	0.34	246.46	311.0
G5768.19	novel	Cdc37		DE	UP	0.00378	0.99622	1.7	221.38	717.64
G5768.23	FBtr0072777	Cdc37		Not DE		4.9E-4	0.99951	-0.4	19306.83	14593.29
G5768.24	FBtr0072777	Cdc37		DE	UP	0.00921	0.99079	2.21	44.57	206.66
G5768.27	FBtr0072777	Cdc37		DE	UP	0.00219	0.99781	2.95	57.5	443.19
G5768.31	novel	CG12020_Patj	CG12020_Patj	DE	DOWN	0.0	1.0	-1.29	3888.0	1589.78
G5768.35	novel	CG12020_Patj	CG12020_Patj	Not DE		0.00363	0.99637	0.81	1256.8	2210.25
G5768.36	FBtr0072778	CG12020		DE	DOWN	0.0	1.0	-2.46	47192.62	8606.01
G5768.47	FBtr0072781	Patj		Not DE		0.57909	0.42091	-0.32	150.73	120.5
G5768.48	FBtr0072779	Patj		Not DE		0.19207	0.80793	-0.31	879.12	711.08
G5768.49	FBtr0301625	Patj		DE	UP	0.0	1.0	13.92	0.0	77.63
G5768.50	novel	Patj		Not DE		0.02104	0.97896	0.46	1406.97	1937.08
G5768.51	FBtr0301625	Patj		DE	UP	0.0	1.0	16.28	0.0	398.42
G5768.6	novel	Cdc37		DE	UP	0.00228	0.99772	2.42	63.68	339.74
G5768.69	FBtr0302730	CG42676		Not DE		0.10686	0.89314	-0.44	616.95	455.59
G5768.7	FBtr0072777	Cdc37		DE	UP	0.00568	0.99432	3.76	14.87	201.91
G5768.70	FBtr0302729	CG42676		Not DE		0.0087	0.9913	0.98	511.43	1010.78
G5768.71	FBtr0332874	CG42676		Not DE		0.08979	0.91021	0.52	340.33	486.74
G5768.8	novel	Cdc37		Not DE		0.02962	0.97038	0.97	201.27	394.63
G577.2	FBtr0077427	Atet		DE	DOWN	0.00144	0.99856	-1.18	2818.48	1246.22
G577.5	FBtr0077426	Atet		DE	DOWN	0.0	1.0	-1.99	4582.77	1155.95
G5770.1	FBtr0332877	JTBR		Not DE		0.18124	0.81876	-0.16	1721.57	1536.04
G5771.2	FBtr0346434	asRNA_CR45686	asRNA_CR45686	Not DE		0.10391	0.89609	-0.6	476.55	313.66
G5771.4	FBtr0346434	asRNA_CR45686	asRNA_CR45686	Not DE		0.34504	0.65496	0.08	2798.31	2960.65
G5771.5	FBtr0346434	asRNA_CR45686	asRNA_CR45686	Not DE		0.00532	0.99468	-0.46	2914.96	2118.36
G5773.3	FBtr0072784	GV1		DE	UP	1.1E-4	0.99989	2.39	223.57	1175.4
G5774.2	novel	novelGene_GV1_AS	novelGene_GV1_AS	DE	UP	0.00416	0.99584	1.72	155.26	510.04
G5776.1	novel	novelGene_Cpr62Ba_AS	novelGene_Cpr62Ba_AS	DE	UP	0.0	1.0	8.03	1.18	307.98
G5777.15	FBtr0072832	CG12024		DE	UP	3.0E-5	0.99997	1.08	1754.66	3698.22
G5777.17	FBtr0072832	CG12024		DE	UP	0.0	1.0	1.5	1094.95	3092.13
G5777.18	FBtr0072832	CG12024		DE	UP	0.0	1.0	12.44	0.15	844.74
G5777.19	FBtr0072833	CG12024		Not DE		0.51301	0.48699	-0.15	495.09	446.54
G5777.22	novel	CG12024		DE	UP	0.02005	0.97995	1.92	29.77	112.54
G5777.25	novel	CG12025_CG12024	CG12025_CG12024	DE	UP	0.0	1.0	16.71	0.0	535.0
G5777.29	FBtr0072834	CG12025		Not DE		0.01161	0.98839	0.84	1455.73	2598.13
G5777.30	FBtr0072834	CG12025		Not DE		0.2893	0.7107	0.13	2725.94	2986.73
G5777.31	FBtr0072834	CG12025		DE	UP	0.0	1.0	15.93	0.0	311.24
G5777.33	FBtr0332668	CG12025		DE	DOWN	0.00113	0.99887	-1.46	1760.99	639.83
G5777.34	FBtr0072834	CG12025		DE	UP	0.0	1.0	2.78	292.78	2011.01
G5777.35	novel	CG12025		DE	UP	0.0	1.0	5.52	52.2	2398.15
G578.2	novel	novelGene_mir-1005_AS	novelGene_mir-1005_AS	DE	UP	0.0	1.0	11.14	0.78	1757.5
G5780.1	FBtr0072867	Rap1	Rap1	DE	DOWN	0.0	1.0	-1.24	6064.47	2575.88
G5780.10	FBtr0072867	Rap1	Rap1	Not DE		0.18162	0.81838	-0.63	511.13	329.53
G5780.12	FBtr0332671	Rap1	Rap1	DE	DOWN	0.00367	0.99633	-1.23	1371.09	583.76
G5780.14	FBtr0332671	Rap1	Rap1	DE	DOWN	0.03922	0.96078	-1.18	168.66	74.24
G5780.15	FBtr0332671	Rap1	Rap1	Not DE		0.06119	0.93881	1.14	37.69	82.83
G5780.4	FBtr0332671	Rap1	Rap1	DE	DOWN	0.01545	0.98455	-2.69	223.87	34.79
G5780.5	FBtr0072867	Rap1	Rap1	DE	UP	0.0	1.0	14.61	0.0	124.7
G5781.1	FBtr0072866	HBS1		DE	UP	0.0	1.0	19.88	0.0	4832.63
G5781.12	FBtr0345807	HBS1		DE	DOWN	0.0	1.0	-16.69	527.23	0.0
G5781.3	FBtr0072866	HBS1		Not DE		7.0E-4	0.9993	0.62	4182.67	6407.19
G5781.4	FBtr0345807	HBS1		DE	DOWN	0.00209	0.99791	-1.08	4093.61	1940.46
G5781.6	FBtr0072866	HBS1		DE	UP	0.0	1.0	19.15	0.0	2911.61
G5781.8	FBtr0345807	HBS1		DE	UP	0.0	1.0	3.38	177.71	1848.61
G5781.9	FBtr0345807	HBS1		Not DE		0.55524	0.44476	-0.21	638.87	552.58
G5782.1	novel	novelGene_CG12025_AS	novelGene_CG12025_AS	Not DE		0.49904	0.50096	0.19	222.79	253.56
G5783.2	FBtr0303153	CG13924		DE	UP	0.0	1.0	5.63	41.61	2067.38
G5783.3	FBtr0303153	CG13924		DE	UP	1.9E-4	0.99981	5.06	19.15	636.76
G5783.4	FBtr0300120	CG13924		DE	UP	0.0	1.0	15.19	0.0	186.33
G5784.1	FBtr0072864	dre4		Not DE		0.00768	0.99232	-0.69	1684.99	1044.92
G5784.13	FBtr0072865	dre4		DE	UP	1.4E-4	0.99986	2.35	587.04	2992.28
G5784.15	novel	dre4		DE	UP	7.4E-4	0.99926	3.29	60.05	588.66
G5784.20	FBtr0072865	dre4		Not DE		0.0	1.0	-0.63	10510.31	6811.98
G5784.9	FBtr0072865	dre4		DE	UP	4.0E-5	0.99996	3.08	112.15	947.77
G5785.1	novel	CG13937		DE	UP	0.00127	0.99873	3.12	30.7	266.8
G5785.11	FBtr0300717	CG13937		DE	UP	0.0	1.0	4.84	28.25	809.94
G5785.15	FBtr0300715	CG13937		DE	UP	0.0	1.0	18.01	0.0	1322.62
G5785.16	FBtr0300715	CG13937		Not DE		0.33336	0.66664	-0.23	337.72	287.41
G5785.20	novel	CG13937		DE	UP	9.5E-4	0.99905	3.83	23.51	334.23
G5785.21	FBtr0300717	CG13937		DE	UP	0.00643	0.99357	2.03	58.78	240.61
G5785.4	FBtr0300717	CG13937		DE	UP	2.0E-4	0.9998	4.08	24.36	411.67
G5785.6	novel	CG13937		DE	UP	0.00215	0.99785	2.13	122.05	533.99
G5791.4	FBtr0072841	Mfap1		Not DE		0.29314	0.70686	0.12	1420.85	1540.52
G5791.5	FBtr0072841	Mfap1		DE	DOWN	0.03466	0.96534	-1.09	378.78	177.7
G5792.11	FBtr0072856	mu2		Not DE		0.00629	0.99371	0.67	1976.83	3140.14
G5792.12	FBtr0301465	mu2		DE	DOWN	0.0	1.0	-15.21	189.2	0.0
G5792.4	FBtr0072857	mu2		Not DE		0.10402	0.89598	0.69	209.37	337.26
G5792.5	FBtr0301465	mu2		DE	UP	0.00387	0.99613	1.99	194.69	771.94
G5792.7	FBtr0072856	mu2		Not DE		0.48116	0.51884	0.13	814.46	888.58
G5793.11	FBtr0333430	Cnb		DE	UP	0.0	1.0	4.51	100.04	2282.01
G5793.12	FBtr0333430	Cnb		DE	UP	0.04466	0.95534	1.88	41.81	153.38
G5793.5	FBtr0333430	Cnb		Not DE		0.06415	0.93585	0.32	1319.58	1652.9
G5793.6	novel	Cnb		Not DE		0.06673	0.93327	1.17	63.06	141.41
G5793.7	novel	Cnb		Not DE		0.23023	0.76977	-0.44	209.74	154.84
G5793.8	FBtr0333430	Cnb		DE	UP	0.0214	0.9786	2.4	27.41	144.31
G5794.11	FBtr0304060	mv		Not DE		0.01866	0.98134	0.4	2539.93	3362.52
G5794.12	FBtr0304060	mv		DE	UP	0.0	1.0	18.08	0.0	1386.12
G5794.13	FBtr0304060	mv		Not DE		0.00653	0.99347	-0.49	3317.46	2363.73
G5794.18	FBtr0304060	mv		DE	UP	9.0E-5	0.99991	2.79	435.11	3015.86
G5794.9	FBtr0304060	mv		DE	UP	0.0	1.0	14.63	0.03	826.75
G5795.1	FBtr0072843	SCOT		DE	UP	0.0	1.0	4.41	32.84	698.12
G5795.3	FBtr0072843	SCOT		Not DE		0.59089	0.40911	0.09	922.49	981.11
G5795.6	FBtr0333431	SCOT		DE	UP	0.03594	0.96406	2.12	24.61	107.13
G5795.7	FBtr0072844	SCOT		Not DE		0.01639	0.98361	-0.76	1067.78	630.54
G5796.1	novel	CG1927_CG11815	CG1927_CG11815	Not DE		0.96973	0.030274	0.03	490.82	500.7
G5796.3	FBtr0072853	CG1927		Not DE		0.00891	0.99109	-0.23	7784.9	6615.82
G5796.7	FBtr0072852	CG11815		DE	DOWN	0.0	1.0	-1.04	5482.64	2674.54
G5799.13	FBtr0303925	CG42841		DE	DOWN	0.0	1.0	-4.15	7057.46	396.78
G5799.14	FBtr0303925	CG42841		DE	DOWN	0.0	1.0	-2.67	7359.48	1155.47
G5799.4	FBtr0303925	CG42841		DE	DOWN	0.01986	0.98014	-1.09	414.41	194.89
G5799.6	FBtr0333432	CG42841		Not DE		0.08458	0.91542	0.5	399.18	564.83
G580.1	FBtr0077428	lncRNA_CR44700_CG15429	lncRNA_CR44700_CG15429	DE	UP	0.01429	0.98571	1.05	256.41	531.39
G580.4	FBtr0077428	CG15429		Not DE		0.24578	0.75422	-0.17	1118.34	992.54
G580.5	FBtr0077428	CG15429		Not DE		4.3E-4	0.99957	-0.57	4649.32	3132.26
G5800.2	FBtr0340685	lncRNA_CR44535	lncRNA_CR44535	DE	UP	0.0	1.0	16.36	0.0	419.41
G5800.5	FBtr0340685	lncRNA_CR44535	lncRNA_CR44535	DE	UP	0.0	1.0	16.85	0.0	589.0
G5800.9	FBtr0340685	lncRNA_CR44535	lncRNA_CR44535	Not DE		0.71495	0.28505	-0.1	669.33	622.94
G5801.15	FBtr0332681	sls		DE	UP	8.1E-4	0.99919	1.64	373.37	1162.05
G5801.3	FBtr0309792	CG42355		Not DE		0.06817	0.93183	-0.59	584.8	389.13
G5801.4	FBtr0344866	CG42355		DE	DOWN	0.0	1.0	-2.46	2857.37	518.96
G5801.8	FBtr0309792	CG42355		DE	DOWN	0.0	1.0	-2.45	19786.39	3629.56
G5801.9	FBtr0309792	CG42355		Not DE		0.04676	0.95324	-0.87	322.06	175.86
G5802.2	FBtr0332677	sls		Not DE		0.11971	0.88029	0.53	187.43	269.78
G5802.5	novel	sls		DE	UP	0.00363	0.99637	3.2	9.02	82.79
G581.4	novel	novelGene_42	novelGene_42	DE	UP	0.0	1.0	14.52	0.0	117.77
G581.6	novel	novelGene_43	novelGene_43	DE	UP	2.1E-4	0.99979	5.62	4.05	199.35
G5810.1	FBtr0333451	CG15822		DE	UP	0.0	1.0	16.47	0.0	454.17
G5810.11	FBtr0333451	CG15822		DE	UP	0.0018	0.9982	1.79	243.7	845.24
G5810.14	FBtr0333451	CG15822		Not DE		0.006	0.994	1.0	899.37	1795.17
G5810.15	FBtr0333451	CG15822		Not DE		0.08134	0.91866	0.7	278.31	453.21
G5810.17	FBtr0333451	CG15822		DE	UP	0.0	1.0	19.17	0.0	2953.54
G5810.18	FBtr0333451	CG15822		DE	UP	3.7E-4	0.99963	2.47	151.82	843.73
G5810.9	FBtr0333451	CG15822		DE	UP	0.00957	0.99043	1.55	271.47	794.11
G5813.2	novel	CR15821_CG15820	CR15821_CG15820	DE	UP	0.0	1.0	6.04	10.22	670.19
G5813.3	novel	CR15821_CG15820	CR15821_CG15820	DE	UP	0.0	1.0	14.86	0.0	149.09
G5813.5	novel	CG15820		DE	UP	0.0	1.0	5.45	58.2	2552.3
G5816.3	FBtr0072911	CG15878		Not DE		0.0	1.0	-0.6	19758.89	13011.52
G5816.5	novel	CG15878		Not DE		0.02932	0.97068	0.46	991.46	1361.76
G5817.10	FBtr0332662	ACXD		DE	UP	4.0E-4	0.9996	3.01	166.18	1336.07
G5817.11	novel	ACXD		DE	UP	0.01397	0.98603	1.28	299.63	726.43
G5817.15	FBtr0332662	ACXD		DE	DOWN	0.0	1.0	-15.76	278.33	0.0
G5817.16	novel	ACXD		DE	UP	8.0E-5	0.99992	3.76	60.58	820.08
G5817.5	novel	Oseg2_ACXD	Oseg2_ACXD	DE	UP	0.0	1.0	17.74	0.0	1092.7
G5817.6	novel	Oseg2		DE	UP	0.0	1.0	14.66	0.0	129.07
G5817.7	novel	Oseg2_ACXD	Oseg2_ACXD	DE	UP	0.0	1.0	4.69	37.91	979.41
G5818.2	FBtr0072910	CG9018		Not DE		0.5594	0.4406	-0.06	2943.36	2829.31
G582.4	FBtr0334401	Traf4		DE	UP	0.0	1.0	2.84	675.78	4834.14
G582.5	novel	Traf4		DE	UP	0.0	1.0	4.24	117.74	2227.24
G5820.2	FBtr0301321	CG32301		Not DE		0.00233	0.99767	-0.62	2954.07	1927.55
G5822.2	FBtr0072908	CG1275		DE	DOWN	0.0	1.0	-1.28	18356.61	7574.11
G5823.4	FBtr0072877	CG2034		Not DE		0.00742	0.99258	-0.22	9440.67	8098.79
G5823.6	FBtr0072877	CG2034		DE	UP	2.0E-4	0.9998	4.02	16.06	260.29
G5824.2	FBtr0072904	oxt		Not DE		0.03481	0.96519	0.59	757.89	1140.18
G5824.7	FBtr0072904	oxt		DE	UP	0.0	1.0	19.46	0.0	3608.32
G5824.9	FBtr0072904	oxt		Not DE		0.0011	0.9989	0.52	3138.95	4507.31
G5825.1	novel	novelGene_oxt_AS	novelGene_oxt_AS	DE	UP	9.4E-4	0.99906	2.26	181.6	869.85
G5827.3	novel	ecd		DE	UP	0.00176	0.99824	2.76	64.9	438.13
